sample_id,production_year,coverage_hifi,deepconsensus_coverage_hifi,coverage_non_dc,coverage_mm_hifi,hifi_prod_site,n50_hifi,phasing,coverage_hic,coverage_ill,total_reads_kinnex,coverage_ont,coverage_100kb_ont,read_N50_ont,sequencing_chemistry_ont,notes
HG00642,YR2,64.7,47.7,17.00,58.2,UW,19763.12,trio,100.22,37.26,22234824,47.67,27.51,117207,R1041,
HG00706,YR2,61.1,0,61.10,61.1,RU,18318.18,trio,168.4,36.79,18556044,55.75,28.62,102533,R1041,
HG00738,YR2,68.56,38.06,30.50,64.5,WUSTL,20600.24,trio,93.25,37.06,12066735,78.79,33.61,87386,R1041,
HG01099,YR2,64.28,38.28,26.00,58.7,WUSTL,19847.56,trio,195.26,39.71,13316490,62.9,32.08,101904,R1041,
HG01255,YR2,70.23,35.73,34.50,67,WUSTL,21360.23,trio,102.3,37.61,15967591,56.63,20.47,77724,R1041,top up ONT UL being done
HG01346,YR2,67.62,46.02,21.60,62.6,UW,18567.15,trio,77.82,36.92,20299109,45.33,23.22,102715,R1041,top up ONT UL being done
HG01433,YR2,68.04,41.14,26.90,63.2,WUSTL,20876.95,trio,127.12,38.77,19428777,51.35,23.53,91747,R1041,top up ONT UL being done
HG01496,YR2,63.09,38.69,24.40,57.7,WUSTL,21805.56,trio,72.64,34.29,18989268,63.68,32.67,102631,R1041,
HG01884,YR2,60.52,38.92,21.60,55.4,UW,17842.18,trio,180.82,37.73,17230581,73.66,36.76,99796,R1041,
HG01934,YR2,78.23,37.33,40.90,73.1,WUSTL,21996.7,trio,161.12,39.22,19800834,61.12,33.63,111079,R1041,
HG01943,YR2,66.98,34.98,32.00,63.8,WUSTL,19140.59,trio,124.78,35.67,19708108,86.25,42.88,99382,R1041,
HG01981,YR2,63.08,38.78,24.30,58.3,WUSTL,21539.98,trio,207.78,36.75,21593908,52.7,22.63,85378,R1041,top up ONT UL being done
HG01993,YR2,72.01,38.71,33.30,67.3,WUSTL,21057.86,trio,85.12,36.57,16580497,69.68,30.08,88621,R1041,
HG02004,YR2,64.4,42.5,21.90,59.4,WUSTL,19230.14,trio,92.44,37.26,16359794,65.08,32.96,101203,R1041,
HG02027,YR2,67.64,49.54,18.10,60.9,WUSTL,19235.44,trio,128.48,37.43,11741740,78.94,34.33,86673,R1041,
